,name,new_price,old_price,discount,rating,votes
233,Portable ALUMINIUM ALLOY Fold-able Computer Support Laptop Stand,KSh 630,"KSh 1,200",48%,4.7 out of 5,4.7 out of 5(168)
234,Fashion Men Stainless Steel Rotatable Chain Ring- Blue,KSh 100,KSh 150,33%,4.5 out of 5,4.5 out of 5(129)
235,Fashion 3PCs Soft Cotton Stretch Ladies Stripped Tight,KSh 989,"KSh 1,600",38%,3.8 out of 5,3.8 out of 5(69)
236,MK TV Guard  + FRIDGE Guard + A FREE 4 Way Extension Cable.,"KSh 1,450","KSh 2,000",28%,4.1 out of 5,4.1 out of 5(136)
237,"Vitron 3.1 BLUETOOTH HOMETHEATER, 10000W PMPO FM,SD CARD","KSh 5,632","KSh 7,000",20%,4.4 out of 5,4.4 out of 5(30)
238,Garnier Ampoule Tissue Face Mask - Watermelon And 1% Hyaluronic Acid 15g,KSh 395,,,4.6 out of 5,4.6 out of 5(140)
239,Yixin 3 Pack Men's Summer Loose Short Sleeve T-shirt,KSh 919 - KSh 940,"KSh 1,671",45%,3.8 out of 5,3.8 out of 5(144)
240,Fashion Ladies Denim Jeans Trousers - Blue,"KSh 1,350","KSh 1,500",10%,3.3 out of 5,3.3 out of 5(6)
241,"Ecoflow Portable Power Station RIVER 2 Pro, 768Wh LiFeP04 Battery, 70 Min Fast Charging, 3X800W AC Outlets, for Outdoor Camping","KSh 84,999","KSh 106,999",21%,4.8 out of 5,4.8 out of 5(5)
242,Double Sided Stick Self Adhesive Foam Mounting Tape For Posters And Pictures Sponge Soft.,KSh 350,KSh 600,42%,4.1 out of 5,4.1 out of 5(7)
243,"Fashion Postpartum Belly Girdle, Waist Trainer Belt Body Shaper",KSh 587,KSh 726,19%,4 out of 5,4 out of 5(186)
244,"Case For TECNO CAMON 20, Silicone Fashion Cover Case.",KSh 890,"KSh 1,200",26%,5 out of 5,5 out of 5(1)
245,2M Sparkle Glitter Ribbon Christmas Gift Wrapping Bow-,KSh 193,KSh 386,50%,,
246,Fashion Head Warmer Beanie,KSh 575 - KSh 600,KSh 600 - KSh 800,28%,1 out of 5,1 out of 5(1)
247,Rashnik RN-8032 Solar Light 50W 150,KSh 720,,,3 out of 5,3 out of 5(2)
248,Nobel 5.1CH DIGITILALISED HOME THEATRE SOUND SYSTEM BT/USB/FM 22000W PMPO,"KSh 15,799","KSh 21,999",28%,3.7 out of 5,3.7 out of 5(3)
249,Fashion Sports Jacket,"KSh 2,300 - KSh 2,500","KSh 4,000",43%,3.2 out of 5,3.2 out of 5(19)
250,Samsung Adapter USB Type C To Type C Cable Fast Charging .,"KSh 3,779","KSh 5,000",24%,,
251,4 CUP Toothbrush Holder Automatic Toothpaste Squeezer,KSh 981,"KSh 1,552",37%,3.6 out of 5,3.6 out of 5(9)
252,150Pcs Kids Drawing Set And Colourig Set,"KSh 1,498","KSh 2,500",40%,4.2 out of 5,4.2 out of 5(5)
253,Vision Plus Remote,"KSh 1,100","KSh 2,000",45%,5 out of 5,5 out of 5(1)
