,name,new_price,old_price,discount,rating,votes
137,"Aichun Beauty Papaya Breast Enhancement & Firming Essential Oil, 30 Ml--",899.0,"KSh 1,499",40%,,
138,"915 Generation Popsicle Mold, Silicone Popsicle Mold, Homemade",2780.0,"KSh 5,226",47%,,
139,915 Generation Bms 4S 12A 16.8V 18650 Lithium Battery Pack Charging Board,478.0,KSh 899,47%,,
140,Outdoor Indoor Nap Travel TPU Travel Inflatable Pillow Lumbar Pillow Inflatable Air Pillow Air Pillow Lumbar Pillow,1385.0,"KSh 2,770",50%,,
141,915 Generation Antique Retro Vintage Decorative Latch Wooden Jewelry Box,194.0,KSh 339,43%,,
142,915 Generation Spoon Chopsticks Holder Fork Organizer Drain Cutlery Storage,1902.0,"KSh 3,575",47%,,
143,Universal Car Decorative Air Flow Intake Hood Scoop Turbo Bonnet Vent Cover Hood Car Styling Carbon Fiber Pattern,3553.0,"KSh 7,105",50%,,
144,Tanluhu Ultralight Running Hydration Backpack Women Men Breathable Backpack Water Bag for Marathon Cycling Outdoor Sports Purple,2981.0,"KSh 5,904",50%,,
145,915 Generation Fuel Pipe Connector Motorcycle 7.89 Series Quick Release,799.0,"KSh 1,477",46%,,
146,Steel Lathe Cutter Tool Holder Hob Knurling Knife +Knurling Wheel 0.4mm HSS Inner Hole Embossing Wheel,3747.0,"KSh 7,494",50%,,
147,SSK SCRS064 Micro-SD Card Reader High Speed USB2.0 Mini Smart USB Card Reader,90.0,KSh 135,33%,,
148,P47 Bluetooth Headphone Music Headset With FM Radio,785.0,KSh 999,21%,4 out of 5,4 out of 5(2)
149,"Multifunctional Camping Folding Seat Cushion with Backrest Outdoor Stadium Grass Beach Chair Camp Rest Cushion,Red",3074.0,"KSh 5,593",45%,,
150,Samsung 64 GB Memory Card EVO Plus Micro SD,925.0,"KSh 1,500",38%,4 out of 5,4 out of 5(35)
151,1/12 DollHouse Furniture Miniature Wooden Console Table Cabinet Kitchen Room Sideboard Bathroom Shelf Wood Color,1320.0,"KSh 2,575",49%,,
152,200Pcs 9.5mm Metal Sewing Buttons Prong Ring Press Studs Snap Fasteners Clip Pliers DIY Clothes Five Claw Buckle,3512.0,,,,
153,Dove Baby Rich Moisture Shampoo 200ml,800.0,,,4 out of 5,4 out of 5(1)
154,Rattan Woven Bread Basket with Blue Painted Wooden Bottom Round Tray with Handle Suitable for Bread Fruit to B,6440.0,"KSh 12,879",50%,,
155,915 Generation XLR To RCA Y Splitter Cable 3 Pin XLR Male To 2RCA Female Am,823.0,"KSh 1,547",47%,,
156,H91 4G LTE Mobile WiFi Router 150Mbps with SIM Card Slot Portable 4G WiFi Router Support 10 User Connections(H91-SEA),4279.0,"KSh 7,788",45%,,
157,"915 Generation Blue Wood Bead Wreath, Nautical Farmhouse Country Style Bead",1515.0,"KSh 2,848",47%,,
158,W3230 Probe Line 20A Digital Temperature Control LED,650.0,"KSh 1,169",44%,,
